modeloBombilla,tipoLampara,streetAddress,codigo,distrito,barrio,Longitude,Latitude
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE VICENTE BLASCO IBAÑEZ 46,31006724,Hortaleza,6,444651.72060000000,4482951.29700000000
LBE003,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ISABEL CLARA EUGENIA 35,31019692,Hortaleza,6,444783.67080000000,4482728.91980000000
LBE003,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE LUIS JIMENEZ DE ASUA 27,31017242,Hortaleza,6,444708.90660000000,4482761.49170000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE VICENTE BLASCO IBAÑEZ 62,31011664,Hortaleza,6,444689.81760000000,4482996.60990000000
LBE003,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE LUIS JIMENEZ DE ASUA 29,31017243,Hortaleza,6,444684.45440000000,4482781.90030000000
LBE003,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ISABEL CLARA EUGENIA 35,31019692,Hortaleza,6,444767.95480000000,4482712.13620000000
LBE003,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ISABEL CLARA EUGENIA 44,31038265,Hortaleza,6,444755.14870000000,4482752.62650000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE VICENTE BLASCO IBAÑEZ 37,31025664,Hortaleza,6,444621.10420000000,4482933.60940000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,AVENIDA DE NICETO ALCALA ZAMORA 73,31007838,Hortaleza,6,444699.74570000000,4483027.60950000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ISABEL CLARA EUGENIA 47,31006651,Hortaleza,6,444511.8010000000,4482783.66290000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ISABEL CLARA EUGENIA 46,31006600,Hortaleza,6,444605.98280000000,4482897.17080000000
LBE003,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ISABEL CLARA EUGENIA 61,31017489,Hortaleza,6,444492.48290000000,4482943.87080000000
LBE003,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ANA DE AUSTRIA 34,31003878,Hortaleza,6,444507.21880000000,4482960.95140000000
LBE003,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ANA DE AUSTRIA 32,31037818,Hortaleza,6,444450.48700000000,4482980.18500000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ISABEL CLARA EUGENIA 51,31009908,Hortaleza,6,444564.8540000000,4482865.62310000000
LBE003,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ANA DE AUSTRIA 34,31003876,Hortaleza,6,444463.7200000000,4482995.81320000000
LBE003,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE AMERICO CASTRO 24,31009906,Hortaleza,6,444520.66060000000,4482919.76360000000
LBE003,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ISABEL CLARA EUGENIA 50,31010250,Hortaleza,6,444577.83160000000,4482901.56010000000
LBE003,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE ISABEL CLARA EUGENIA 61,31017489,Hortaleza,6,444470.68780000000,4482961.66410000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE VICENTE BLASCO IBAÑEZ 23,31019472,Hortaleza,6,444521.72550000000,4482814.84070000000
LBE002,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/alumbrado-publico/tipo-lampara/descarga,CALLE DE VICENTE BLASCO IBAÑEZ 27,31009903,Hortaleza,6,444552.66940000000,4482833.16980000000
